"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20"
"""Немішаївський фаховий коледж Національного університету біоресурсів і природокористування України """,117,152,96,151,65,115,22,23,23,21,19,24,20
"Економіко-правовий фаховий коледж Київського кооперативного інституту бізнесу і права",75,152,117,225,76,136,-36,16,17,16,16,16,16
"Київська державна академія декоративно-прикладного мистецтва і дизайну ім. М. Бойчука",32,152,17,161,33,107,88,20,24,18,20,21,20
"Комунальний заклад вищої освіти ""Волинський медичний інститут"" Волинської обласної ради",12,152,3,67,4,67,300,20,19,17,15,17,16
"""Фаховий коледж економіки і технологій Національного університету ""Чернігівська політехніка""",62,151,62,194,47,142,0,16,23,16,17,17,17
"Одеський державний екологічний університет",138,151,50,60,61,88,176,20,23,19,20,18,20
"Коледж Приватного закладу вищої освіти ""Міжнародний класичний університет ім. П. Орлика""",62,149,77,208,38,96,-19,19,20,17,16,18,17
"""Охтирський фаховий коледж Сумського національного аграрного університету""",141,148,67,87,20,26,110,17,27,18,17,22,18
"Маріупольський державний університет",99,148,129,299,157,349,-23,23,27,19,21,19,21
"Національна академія образотворчого мистецтва і архітектури",36,147,23,118,25,112,57,20,26,19,19,19,20
"""Відкритий міжнародний університет розвитку людини ""Україна"" Хмельницький інститут соціальних технологій",101,145,49,80,33,69,106,26,25,28,21,28,23
"""Фаховий коледж інженерії, управління та землевпорядкування Національного авіаційного університету""",92,144,304,438,197,260,-70,16,16,16,16,16,17
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі ТзОВ",129,144,46,63,36,49,180,20,28,20,21,19,21
"Миколаївський національний університет ім. В. Сухомлинського",86,144,109,215,96,257,-21,23,24,21,23,20,22
"""Харківський торговельно-економічний фаховий коледж Державного торговельно-економічного університету""",117,142,43,93,57,112,172,21,31,19,19,19,20
"Харківський кооперативний торгово-економічний фаховий коледж",56,142,114,297,85,203,-51,15,19,16,16,16,16
"""Природничо-гуманітарний фаховий коледж Державного вищого навчального закладу ""Ужгородський національний університет""",85,141,119,183,67,107,-29,15,17,15,16,15,16
