"university","men_22","all_students_22","men_21","all_students_21","men_20","all_students_20","delta_22","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21","mean_age_w_20","mean_age_m_20","all_students_23","men_23","mean_age_w_23","mean_age_m_23","delta_23"
"Комунальний заклад вищої освіти ""Вінницька академія безперервної освіти""",146,218,15,70,10,51,873,35,33,40,39,39,34,232,161,38,34,10
"Львівський кооперативний фаховий коледж економіки і права",90,218,134,312,109,254,-33,16,22,16,16,16,16,271,145,16,23,61
"Одеський морехідний фаховий коледж морського та рибопромислового флоту ім. О. Соляника",218,218,362,362,288,288,-40,0,16,0,16,0,16,212,208,16,16,-5
"Хмельницький кооперативний фаховий коледж Хмельницького кооперативного торговельно-економічного інституту",83,218,128,314,99,232,-35,15,16,16,16,16,16,299,102,15,17,23
"""Волинський фаховий коледж Національного університету харчових технологій""",169,217,85,158,75,140,99,16,22,16,16,16,17,175,116,16,23,-31
"Ізмаїльський державний гуманітарний університет",88,217,43,150,48,173,105,21,26,20,24,22,25,220,109,21,31,24
"Вінницький медичний фаховий коледж ім. акад. Д. Заболотного",42,216,30,199,39,207,40,19,17,17,17,16,17,245,45,20,18,7
"Полтавський фаховий кооперативний коледж",77,213,76,227,66,174,1,16,21,16,17,16,17,314,147,17,25,91
"Хмельницький кооперативний торговельно-економічний інститут",128,211,91,157,80,114,41,19,20,20,20,19,20,250,178,18,24,39
"""Київський кооперативний інститут бізнесу і права""",152,210,53,89,61,108,187,20,24,19,20,19,19,260,217,21,29,43
"""Мукачівський фаховий коледж Національного університету біоресурсів і природокористування України""",141,208,82,179,35,82,72,16,22,16,16,15,17,259,183,15,25,30
"""Рівненський фаховий коледж Національного університету біоресурсів і природокористування України""",135,208,103,185,81,127,31,16,19,16,17,17,17,266,164,16,19,21
"Херсонський ННІ Національного університету кораблебудування ім. адмірала Макарова",190,207,153,164,118,133,24,27,29,34,29,27,31,237,216,32,30,14
"Заклад вищої освіти ""Львівський університет бізнесу та права""",190,206,48,67,24,54,296,22,31,20,23,19,21,25,19,19,27,-90
"""Бережанський фаховий коледж Національного університету біоресурсів і природокористування України""",194,205,83,99,104,128,134,23,24,24,22,23,21,236,225,17,28,16
"Черкаський інститут пожежної безпеки ім. Героїв Чорнобиля Національного університету цивільного захисту України",131,205,64,112,55,94,105,18,19,18,18,18,18,291,204,18,19,56
"Черкаська медична академія",45,204,55,255,51,210,-18,19,20,18,19,18,18,313,69,24,21,53
"Полтавський юридичний інститут Національного юридичного університету ім. Ярослава Мудрого",108,200,53,106,71,129,104,18,20,18,19,18,20,250,109,18,19,1
"Вищий навчальний приватний заклад ""Дніпровський гуманітарний університет""",105,199,45,95,57,147,133,19,25,18,20,19,20,186,118,21,28,12
"Галицький фаховий коледж ім. В. Чорновола",91,198,39,131,44,109,133,17,18,16,16,17,17,218,113,16,22,24
"Національний університет цивільного захисту України",142,197,170,274,187,314,-16,20,26,17,18,18,18,329,234,20,21,65
"Фаховий коледж Закладу вищої освіти «Міжнародний науково-технічний університет ім. акад. Ю. Бугая»",114,194,75,121,40,62,52,16,15,16,16,16,16,121,81,16,16,-29
"Малинський фаховий коледж",177,187,68,74,34,49,160,17,27,17,21,17,20,257,247,18,32,40
"ПрАТ """"Запорізький інститут економіки та інформаційних технологій""",157,187,78,116,63,101,101,20,25,18,20,18,19,124,112,19,28,-29
