"university","women_22","men_22","all_students_22","women_21","men_21","all_students_21","delta_22","delta_21","mean_age_w_22","mean_age_m_22","mean_age_w_21","mean_age_m_21"
"""Фаховий коледж інженерії, управління та землевпорядкування Національного авіаційного університету""",52,92,144,134,304,438,-70,54,16,16,16,16
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі ТзОВ",15,129,144,17,46,63,180,28,20,28,20,21
"Миколаївський національний університет ім. В. Сухомлинського",58,86,144,106,109,215,-21,14,23,24,21,23
"""Харківський торговельно-економічний фаховий коледж Державного торговельно-економічного університету""",25,117,142,50,43,93,172,-25,21,31,19,19
"Харківський кооперативний торгово-економічний фаховий коледж",86,56,142,183,114,297,-51,34,15,19,16,16
"""Природничо-гуманітарний фаховий коледж Державного вищого навчального закладу ""Ужгородський національний університет""",56,85,141,64,119,183,-29,78,15,17,15,16
"Сумський фаховий коледж економіки і торгівлі",26,115,141,84,54,138,113,50,18,31,19,19
"Фаховий коледж економіки і права Вінницького кооперативного інституту",74,67,141,89,54,143,24,12,16,24,16,17
"Придніпровська державна академія фізичної культури і спорту",41,98,139,13,53,66,85,-5,22,21,22,18
"""Коломийський політехнічний фаховий коледж Національного університету ""Львівська політехніка""",24,112,136,19,55,74,104,77,16,24,16,16
"«Класичний фаховий коледж Сумського державного університету»",14,122,136,20,39,59,213,255,28,30,24,22
"“Фаховий коледж технологій, бізнесу та права Волинського національного університету ім. Лесі Українки”",61,72,133,104,87,191,-17,58,16,19,16,17
"«Фаховий коледж Чернівецького національного університету ім. Ю. Федьковича»",62,71,133,62,90,152,-21,64,15,17,16,16
"Мукачівський кооперативний фаховий коледж бізнесу",67,66,133,109,63,172,5,-6,15,21,15,16
"Донецький державний університет внутрішніх справ",74,58,132,98,62,160,-6,19,18,22,17,18
"Фаховий коледж Класичного приватного університету",67,65,132,100,134,234,-51,11,16,21,16,16
"""Первомайський фаховий коледж Національного університету кораблебудування ім. адмірала Макарова""",43,85,128,63,88,151,-3,54,16,16,17,17
"""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",21,107,128,47,155,202,-31,82,17,18,17,17
"""Луганський державний медичний університет""",87,40,127,73,73,146,-45,217,21,19,22,21
"Вінницький технічний фаховий коледж",16,111,127,18,140,158,-21,16,15,16,16,16
"Заклад фахової передвищої освіти «Київський міський медичний фаховий коледж»",74,52,126,79,56,135,-7,8,19,18,18,16
"Одеська національна музична академія ім. А.В. Нежданової",64,61,125,82,70,152,-13,-15,25,25,23,25
"ПрАТ «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»",29,96,125,33,65,98,48,-32,27,29,25,26
"Сумська філія Харківського національного університету внутрішніх справ",57,68,125,58,45,103,51,41,18,28,18,19
"Харківський автомобільно-дорожній фаховий коледж",17,108,125,61,89,150,21,35,17,29,16,17
"""Одеський автомобільно-дорожній фаховий коледж Національного університету ""Одеська політехніка""",12,112,124,21,161,182,-30,0,19,21,18,17
"""Фаховий коледж Кременчуцького національного університету ім. М. Остроградського""",34,89,123,51,80,131,11,-7,16,19,16,17
"Донбаська державна машинобудівна академія",31,92,123,16,39,55,136,-33,25,25,20,19
"""Полтавський фаховий коледж Національного юридичного університету ім. Ярослава Мудрого""",85,37,122,99,44,143,-16,2,16,17,16,16
"""Фаховий коледж нафтогазових технологій, інженерії та інфраструктури сервісу Одеського національного технологічного університету""",63,59,122,140,104,244,-43,27,16,20,17,17
